idForum,idDiscussion,subject,message,parent
5722,28129,Tutoretzak BBC,pkaixop pzalantz bat sort fait jas berri duque menu bat abrir hemendik correr guar jar dezakegu gur tutoretzak bbc biden emite estelar pzalantz da jar date modus bat isle tartu nazi den nik hala sonar bat eman beh date sabor tartu anal zamek best akas best person baten edo tal baten nag eta break ez dai eta sai dag talk ere ez jain dudan fakultater bat hora barrio dut edo horrelak zerbaitp pez dalit alerta aid eta ea konponbiderik baden pmid ester aldea aurretikp pbp,0
5722,30044,Añadir foto de perfil en BBC (Egela),buen tardes p¿algun sab si posible agrega fot perfil sesion bbc dentro gelp pen bbc hileras posible dentro ngel no veo manera hacerlo gracia antemano part escapar,0
5723,23877,Cuestionario ,pme gust sab com hac alum exam test online pregunta  sol intent puede dej pregunta contest vol ellas ¿tenga prepara algun form especial salud gracia antemano pelea lorenzo,0
5723,23882,Curso de cuestionarios lleno,pol no pod apunta curs cuestionar mañana mart  llen miercoles   doy clase pno for dud tema abr nuevo curso ¿nop gracias,0
5723,23887,Curso lleno,pol acabo ver for dud cad tem pestaña abajo precios         blackbird collaborate     creacion videos       cuestionario pyo intent dej mensaje pestaña arriba for dud inch cad tem no dejaba quizas unic confunde cre deb claro pest cuarto mensaje dej respect curs cuestionar llen castellano sol siti miercoles   men doy clase p p¿vais abrir map p p,0
5723,23898,zerrendak beteta,paix libr dag bajar espiral tan da bain las nag bestrerik proposatuk dituzu eskerrik asp,0
5723,23905,¿Grabación o reedición del curso?,pzorionakp pel curs exit no que pen plaza ¿se grab sesion ¿vol quiz oferta curs cuestionarios salud anim top pido mamolarp,0
5723,23967,Límite de caracteres,p¿hay limit caracter plant preguntas,0
5723,23972,Revisar resultados,buen tardes much gracia curso pme gust edit cualquier revision result dad alumno tras entre concreto inform aparece transparent  puntuacion often nave cuestionar naranja dificulta pas inform estudiantes pen chat contest exist much opcion check depend circuit no queda claro much gracia saludos gustavo p p,0
5723,23973,Exportar cuestionarios,paix p p p pyo prepara cuestionar gust export enter mont ¿com puede hac intent gestion curs symbol engranaje gt banc pregunta gt export sol da opcion escoge categor pregunta no cuestionario p p tambien intent mismo cuestionar opcion export dic no pregunta export cuestionar hecho met pregunta man guard ningun categor ¿puede ser problemas p p peskerrikasko p p p,0
5723,23975,Calificación de las preguntas,buen tardes p¿com califico pregunta de emparejamiento pmid espera p p,0
5723,23976,Preguntas aleatorias para cada alumno (categorías),pol top query sab si puede define cad alumno respond mismo numer pregunta aleatorio banc pregunta dec si cre  pregunta gust define cad alumno respond aleatorio  mood si pod utiliza categor hoy finalizo curs habeis comment ngel opcion existe much gracia antemano pido aguirre,0
5723,23978,PROBAR CUESTIONARIO DISEÑADO,buen tardes pun vez diseño cuestionar alumno rol profesor ¿es posible hac prueba respond mismo tras ver com alumno enfrento mismo gracias,0
5723,23979,Importar cuestionario,phe vist vide import cuestionar program text word concreto utiliza plantilla word incl mismo tip pregunta vf opcion multiple diseño plantilla word pestaña llama complement tod opciones pen orden corpo no exist pestaña herramientas p¿com podr hac cuestionar word import ngela,0
5723,23980,Diseño y calificación de una pregunta (modo V/F),p¿com diseño pregunta tem  enuncia vf califico siguiente form maxim  puntos p cad contest correcta  punt xp p enuncia contest gt no penaliza enuncia  punto p  enuncia incorrect gt penalizacion tod pregunta p,0
5723,23983,Subíndices,p¿com pon subindicessuperindic distinto eleccion respuesta cre pregunta,0
5723,23988,EL ENVIO DEL CUESTIONARIO POR EL ALUMNO,puis sab donde aparece profesor cuestionar relleno alumno si pod guard archivar,0
5723,23998,Modelo de pregunta: Elige la palabra perdida,pme gustaria sab funcion tip pregunta intent realizo no funciona,0
5723,24008,Posibilidad de que el enunciado de las preguntas tengan valores numéricos diferentes según DNI  Alumno?,cad semana entre ejercicio alumno manera dat entrada depend dni cad alumno sac respuesta excel sal cad alumno corrio man uno ¿es posible program pregunta cad alumno often result diferente funcion dni sistema corrio automaticamente,0
5723,24010,Youtube,buen dias p p p¿ex posible col vide sesion youtube com hiz cas curs bbc luego pod descarga veces conecta egelapi personal parece util gracias cae,0
5723,24013,Etiketak,pkaixop palmer bank ticket arabe bilaketak emite uker ius dut bain ez dalit nol jarra etiketak hora azaltze eskertuk nuke p p peskerrik ask eta last arte p p felix olasagastip,0
5723,24015,Cuestionario sin calificaciones,segun onp por algun error diseño cuestionar no devuelve califa alumno sin introduce manual ¿qu puede hac calcul autocat vez cuestionar respond cre encontro fall si alas query sab com edit fall diseño proximo vez much gracias saludos eduard malagonp,0
5723,24016,Galdera laburrak konfiguratzeko,pkaixop palmer labor azalea eman den adibidear haiti desagua erantzun aid sulfuros del posible da erantzunet aid hitori  eta sulfuros hitori  palio eman eta torre aid sulfuros esta drenar  empate ala berenberegi aid sulfuros uker jarra beh dug eta horti eko palio emana peskerrik ask eta last arte felix olasagsatip,0
5723,24023,Galdetegia word edo pdf formatuan,posible da ngela galdetegi ordenagailu edit date format bat gordetze ngel tartu bario kontsultatu anal izatekop,0
5723,24025,REPAGINAR CUESTIONARIO,buen dias pen manual proporciona ayer ¿com labor cuestionar  pas pagina  pas  dese habilito  pregunta pagina ¿qu quier dec opcion aparece derecho remain ahora p gracias p,0
5723,24034,REVISAR RESULTADOS,buen tardes pun vez finalizo cuestionar no incl califa ¿qu hecho mal ¿com puede ver califa gracia colaboracion pitziarp,0
5723,24053,Zalantza batzuk,paix gaur sai ego este eta planteatutak zalantzk irakurri condor oraindik ere current kezkak diluta p nir kas ez diet jarra nazi gainditzek gutxienek kalifikazio ebaluaket jarraituar barnes frog bait posible da eta nir azterket  punto gain balvin bad hora nol egin date hau da haztapen egin daitekp p beranduag feedback kudeatu date hau da nik nazi dudan eman informaci hora edo habet anal bad ez eman bi tal debut eta ez dut nazi tal batekoak bestiario emaitzak pasatzeap p murio utzitak erantzun kas ez about kent zer barrio genus kalifikaziorak ezarpenet p p ez dalit nol ordenado daitezk caldera aleatorio erantzunekin bai tomato dudaba psentitz dut horrenbest talante date bain lehendabizik ali da baliabid hau erabiltz dudaba valdez aurretik eskerrak emanezp paitziberp,0
5723,24060,Cuestionarios sólo a una parte de los alumnos,p¿es posible solicita cuestionar tare sol part alumno asi podr diseño diferente model cuestionar tres distrib alumno pod ser sep grup pertenece edit contact realizo cuestionario tres,0
5723,24113,Grabazioei buruzko galdera,pkaixop pos baliagarrik edit ari zaizkit kurt hace mendez grabatutk klassik util dituzu behintzat kurita amante arte gaz da agi galdetegi bat aging duda hira este barra eta bordura agi kurita jad ahaztut hace hem granatum elote oso baliagarri dap pmid espera,0
5723,24118,programación de aspectos específicos del cuestionario,p¿de manera podr program cuestionar alumno pud ver sol numer total respuesta correct often not numer total puede nave tod vez terminado p¿es posible ademas ello programa profesor puede sab cual acero fall cad alumno vol cuestionar concreto dar feedback especie sol determino casos gracias,0
5723,24119,Puntuación negativa en pregunta múltiple,psi pregunta opcion multiple vari respuesta cierto ¿com puede punto negar si marc cierto no esp,0
5723,24120,Preguntas de ensayo,las pregunta ensayo ¿tien limit maxim caracter maneraproced registro respuesta cas form accede profesor ¿es mismo test vim curso,0
5723,24121,Intento de prueba,pun vez cuestionar list alumno option permit hac intent prueba embargo prueba no posible consta si realmente orden pregunta propi opcion respuesta van aleatorio luego cad alumno aunque program asi ¿hay algun form comprobo com funcion alumno exactamente,0
5723,24124,Respuestas en formato imagen,p¿se puede plant respuesta leg format imag vez escrito dec leg respuesta pregunta distinto imagenes p p p p¿y contrario ¿qu pregunta incl ademas texto  imag p,0
5723,24125,Zeregin batean entregatze-data eta itxiera-data,segun onp pzeregin bat estate dieran nir ikasleei ez dalit zertarak bali buen itxieradat eta entregatzedatap,0
5723,24126,Galdera blokeak mantendu aukera anitzeko ausazko azterketetan,pkaixop pgalderbanku cabal bat sort dug eta horti  gallery inguruk audaz azterket presta dug ukasz bakoitzk gallery ezberdinak izan dituelarik bain gai bakoitzek gallery kuru ber horrerain arazorik ez asunto da basquet egoerk deskribatz ditugul eta ever horiekin lotta hira edo lau gallery edit ditugul uker anitzeko bakoitz ba dag mourir erlazionatut dad gallery book horse elkarrekin aukertzekoa audaz galdetegi plantea duque edo ever hora gallery bakoitz errepikatu besar genus eta gallery guztia independiente salir brezal plantea guk lehenengo nazi genus bain ez daegu posible den pmid espera,0
5723,24128,Galdetegia edo Zeregina,padibid konkretuap p p pazterket bat bi problemekin problem bakoitzar hira beats oso antzerakoak bain ez kopiatzeko p pgaldetegiekin problema igor genituzk eta ukasz bakoitzartzat legend problemren beats bat aukeratu deal programa sekuentzi market leheneng bukatu eta ein bueltatu anal zamek eta ger migrar problem entre ragazzi edo escanear biden dentro mugatut problem bakoitzerakop pzereginekin bi verein bi ordutart desberdinekin leheneng problemrako verein pdf bat igor genus hira ereduekin eta hor bert azalea nan zenbakiar arabe beats bat edo best tomato papel ukasz bakoitzari bernie dagokion ordo aukeratzek ger ragazzi edo escanear bitartez igor luke kas honey dentro sobra baza legend problema dentro hora beste laguntzek emaili dezaket bain galdetegi azterket oso egin este ere bai pea norbaitek idea habeas bat mat digan p miles edit ari zares lanagatikp p p p p p p,0
